Year,Income_real_wmean,Gross_Expenditure_real_wmean,housing_cost_adj_real_wmean
1394,8.678681156383822,9.136868475848749,2.3592290650501004
1395,9.106441066949426,9.03735096981307,2.1704247690023575
1396,9.885327999140232,9.73621999118533,2.2741821713007946
1397,9.651616685737698,9.866680853796735,2.204217276501154
1398,8.775067308341509,8.554935610004943,2.0759831814763157
1399,8.901141780602,8.449407844505874,2.0621484024767076
1400,9.256434081734113,8.766331356364864,2.1505323505757774
1401,9.800360845989054,9.038649927584512,2.3409622656013385
1402,10.471822517392344,9.720411316155882,2.815251086697651
1403,10.654469042414286,9.305997271235833,2.8436376382174977
